#--------------------------------------------------------------------------
#                     FastJet release 3.2.1 [fjcore]
#                 M. Cacciari, G.P. Salam and G. Soyez                  
#     A software package for jet finding and analysis at colliders      
#                           http://fastjet.fr                           
#	                                                                      
# Please cite EPJC72(2012)1896 [arXiv:1111.6097] if you use this package
# for scientific work and optionally PLB641(2006)57 [hep-ph/0512210].   
#                                                                       
# FastJet is provided without warranty under the terms of the GNU GPLv2.
# It uses T. Chan's closest pair algorithm, S. Fortune's Voronoi code
# and 3rd party plugin jet algorithms. See COPYING file for details.
#--------------------------------------------------------------------------
Jet finding time: 0.00448495 sec
Ran Longitudinally invariant anti-kt algorithm with R = 0.6 and E scheme recombination
jet #        rapidity             phi              pt
    0      2.74561340      3.30571976     59.69761501
    1     -2.99871014      5.51196429     54.50020611
    2      3.91317526      0.35215072     43.66054162
    3      1.42628213      6.22642362     41.32160284
    4      3.35345202      2.33757298     40.01248835
    5     -2.78535251      4.23870485     32.55748829
    6      0.94526509      2.25753921     31.92866854
    7      0.41686083      5.92290381     30.09465620
    8     -2.93544268      3.07468023     29.96744191
    9     -0.56729349      0.53288987     29.36017094
   10     -4.81878905      2.64528259     28.28487334
   11      0.54083272      1.07000659     27.54423105
   12      0.75301982      3.80632630     27.13207103
   13     -1.99850854      5.93318069     26.61837808
   14      1.55417840      4.49084494     25.74447814
   15     -1.57743692      3.95133588     25.06727544
   16     -0.20791346      2.25729109     24.58162436
   17      2.54944449      5.18839163     23.33592184
   18     -1.67895188      1.35835235     22.73019170
   19     -2.67934001      0.64090289     21.03301962
   20     -5.09661113      3.79045252     20.66659194
   21      2.07764467      2.51753067     20.43560370
   22     -4.57192599      5.07201816     20.35520230
   23      2.94290402      6.14234577     18.62567310
   24     -3.52504508      0.01171210     18.47795044
   25     -0.46342790      1.32629451     18.17385001
   26      1.63262460      0.97541718     16.78964963
   27      3.65323435      3.71569684     16.21833589
   28      0.21763916      4.92694209     16.11334788
   29     -3.91749846      1.93905531     15.88916514
   30     -1.25964703      6.28245387     15.61037784
   31     -4.86756602      1.68029328     15.38194796
   32      2.50065383      1.66548180     15.15195570
   33     -5.92379344      1.85263311     15.08325708
   34     -1.30725420      5.17008830     14.79168469
   35     -0.91923709      2.74950581     14.06963748
   36     -3.71901671      5.13638971     13.93092606
   37     -1.96477975      3.04939501     13.74542461
   38      0.66611265      2.99932870     13.58086304
   39     -3.80180417      3.12872836     13.50041011
   40      5.34444774      4.84219472     13.47678147
   41     -4.83719478      0.54334836     12.93328491
   42      1.53637612      5.36475299     12.38851736
   43      4.60594311      5.74770674     11.87589593
   44      1.57648335      3.09776311     11.64201124
   45      5.72505156      1.53634318     11.42728606
   46     -0.45977979      3.69175028     11.28930529
   47     -5.66718977      0.06591056     10.83265663
   48     -2.99084251      1.60383506      9.80482799
   49     -2.17426161      4.75796707      9.73335386
   50      2.99419125      0.81295691      9.69343205
   51      3.66227805      5.10369340      9.66625821
   52      4.37730390      2.98047531      9.38072694
   53     -2.30128795      2.18854342      8.78926734
   54     -0.69584255      4.63180754      8.32842931
   55     -3.62362732      0.87767295      8.27452804
   56      4.94111144      3.93515399      8.06910640
   57      6.23711519      2.97160410      8.01175052
   58     -0.47471452      5.67741119      7.89219752
   59      4.95609465      2.10727008      7.53416219
   60      4.87593622      0.64094060      7.17423664
   61     -5.70835145      2.81995545      7.02116717
   62     -1.95140962      0.55225539      6.97743308
   63      2.75140910      4.35831675      6.97040269
   64      7.04145129      4.07055865      6.84229406
   65     -6.66709874      3.27264635      6.65904854
   66     -5.63069299      4.81633305      6.23352805
   67     -5.60975422      1.09261182      6.21294108
   68     -4.47205725      5.95730590      5.99635341
   69      0.83147355      4.83564832      5.92799691
   70      4.42525459      4.62177794      5.77823640
   71      6.95326722      0.25823324      5.68106557
   72      6.46718050      4.55442947      5.62684479
   73     -4.36307622      3.79829850      5.54199674
   74      6.21377451      5.37961557      5.10855075
   75      7.19391234      5.11190224      5.10421334
   76      5.55217578      3.42096885      5.02734119
   77     -8.13886152      3.08820331      4.77733941
   78      8.05258159      4.59944534      4.73650141
   79      8.42117370      2.03217601      4.52316363
   80     -6.39248660      0.69840893      4.50491364
   81     -3.26640224      2.33405828      4.46967449
   82     -3.49209585      3.97475981      4.38795123
   83      4.60836051      1.37048272      4.32823140
   84     -6.69549648      5.78491572      4.14536831
   85      0.81063111      0.37185736      4.08876630
   86     -6.54212950      4.81868411      3.93067602
   87      2.28227012      6.28277771      3.89417675
   88      1.71493414      3.76745533      3.87573806
   89     -8.42545765      4.37929766      3.70966826
   90     -1.28908287      0.75326447      3.66127927
   91      8.23311852      3.80621860      3.50353647
   92      3.56031752      1.40681162      3.46937357
   93      1.82564167      1.82275732      3.41769860
   94      1.15501023      1.58188737      3.37066332
   95     -6.06650433      3.99446872      3.34816193
   96     -1.17835088      2.02155063      3.29982642
   97     -7.62394224      1.19126717      3.28192775
   98      6.69717875      1.36012619      3.26951921
   99     -6.95007520      1.89180343      3.17943947
  100     -8.32410767      2.22914789      3.17450147
  101      0.35206452      1.81975254      3.17442381
  102      5.55933575      5.98187699      3.15796549
  103      3.41406472      4.41932509      3.14229918
  104     -7.24545540      3.65091867      3.10054261
  105     -7.52298645      6.14128932      3.09786589
  106     -8.95132528      0.63068305      3.05460407
  107      2.68278872      2.27312574      2.98678252
  108      6.05562209      0.56117872      2.84863929
  109     -8.24288181      0.65321045      2.81898925
  110     -2.67844723      6.21197800      2.70580255
  111     -0.07487486      3.06200458      2.69672179
  112      3.77392599      5.93285478      2.66825365
  113      6.13782905      3.76290280      2.53263725
  114      8.75921186      3.24483309      2.47785315
  115      0.11291687      0.21802192      2.41666335
  116      8.21533164      0.68141001      2.38588846
  117      9.14239425      4.69667232      2.28177443
  118      7.33464653      2.27914275      2.03350465
  119      7.61279206      5.90754429      2.01607266
  120      6.44340865      2.19567036      1.86819235
  121     -7.55848447      2.39744787      1.67794380
  122     -8.52536079      5.26997890      1.64976664
  123     -5.79599082      5.54096641      1.64730524
  124      5.29060506      2.82060294      1.63024027
  125     -8.03023976      1.70580190      1.62643312
  126     -7.37620189      5.25855676      1.62042051
  127      7.24365184      3.19278806      1.43370689
  128     -7.08437304      0.37611752      1.38049979
  129      8.73291707      6.25049784      1.28937916
  130      7.78221056      1.30803315      1.14296671
  131     -4.86589409      4.49807887      1.12271644
  132     -4.24860614      1.12632338      1.11320135
  133     -6.81579518      2.54787128      1.02059616
  134      6.52174454      6.04779508      0.94467582
  135     -2.34689295      3.79942683      0.89093643
  136     -7.16158336      4.39013578      0.88154936
  137     -8.18578623      6.00357829      0.82614319
  138      2.36022138      3.90226088      0.81067274
  139      4.30025494      2.10197059      0.80822277
  140      2.11825460      5.68354796      0.77239115
  141     -8.97380134      2.19311076      0.73510112
  142      9.03196631      5.49164949      0.66006757
  143     -5.07338373      5.66696283      0.63462681
  144     -6.49319015      1.34029276      0.63401505
  145     -9.01460011      3.94410407      0.61946515
  146     -3.89178720      5.72401149      0.57876685
  147      7.95622418      2.70238982      0.51187602
  148     -9.00912246      2.94283118      0.51043730
  149     -1.19235353      3.33501991      0.48618803
  150      5.74004531      2.27060276      0.46824372
  151     -4.12613275      0.40478777      0.44796893
  152      9.37526990      0.69778974      0.44727942
  153      4.46092502      0.10442297      0.42946447
  154      0.14317855      4.21914615      0.41477866
  155     -8.64524250      1.29473443      0.39592479
  156     -5.37213600      2.13668174      0.38666876
  157      5.67031707      4.19620051      0.22157867
  158      9.29678568      1.67789610      0.20805713
  159     10.12929818      1.53981421      0.20001175
  160      9.43503257      5.93640949      0.19682453
  161     -8.00764126      4.84478242      0.19018097
  162     -7.84868198      4.11641693      0.16667933
  163      9.68704026      5.00089998      0.16212998
  164      9.59807297      4.26364800      0.13476349
  165      8.61617610      1.39615247      0.12858963
  166     -2.40600325      1.21324270      0.12086964
  167     -9.44922613      4.71031766      0.09466807
  168      8.40592046      5.66944616      0.09140606
  169     -9.00469887      0.02384808      0.08975432
  170     -9.90170407      0.20463066      0.07677976
  171      3.33582706      2.96090473      0.05661258
  172    -10.82606942      2.85669000      0.04545274
  173     10.62999630      5.89533312      0.04116193
  174      7.81378812      0.22250447      0.01237472
