#--------------------------------------------------------------------------
#                     FastJet release 3.2.1 [fjcore]
#                 M. Cacciari, G.P. Salam and G. Soyez                  
#     A software package for jet finding and analysis at colliders      
#                           http://fastjet.fr                           
#	                                                                      
# Please cite EPJC72(2012)1896 [arXiv:1111.6097] if you use this package
# for scientific work and optionally PLB641(2006)57 [hep-ph/0512210].   
#                                                                       
# FastJet is provided without warranty under the terms of the GNU GPLv2.
# It uses T. Chan's closest pair algorithm, S. Fortune's Voronoi code
# and 3rd party plugin jet algorithms. See COPYING file for details.
#--------------------------------------------------------------------------
Jet finding time: 0.000458811 sec
Ran Longitudinally invariant anti-kt algorithm with R = 0.6 and E scheme recombination
jet #        rapidity             phi              pt
    0     -0.86713954      2.90515650    983.27961921
    1      0.22020770      6.03158364    901.74525462
    2     -1.18094729      6.08357229     67.99406627
    3      0.39856668      0.67288619     12.46517757
    4     -2.58095820      1.13304325      6.56849267
    5     -1.71938196      4.03506179      6.49839970
    6     -1.09232811      0.49795101      4.90402435
    7     -1.75771754      1.37710938      4.34620551
    8     -4.74471685      1.90859013      3.51451697
    9     -2.48893071      6.20047697      3.39846776
   10     -4.14837926      1.23759849      3.11081218
   11     -4.47515985      0.13381720      2.60184918
   12      1.51639062      4.66633802      2.50584945
   13      0.21090666      3.67744153      2.50086160
   14     -5.14642100      4.22830658      2.35966802
   15      1.37178743      1.12326457      2.31880002
   16      3.07802514      5.86054464      2.24507526
   17      3.68806210      5.21991244      2.23461061
   18      5.95240354      3.58245583      2.10328507
   19     -4.45447519      3.52277999      2.00508240
   20     -4.41978937      4.61969891      1.85809677
   21      4.64130889      0.51732465      1.83412881
   22     -3.48992204      0.66385983      1.76176505
   23      4.79418354      4.41977128      1.67379815
   24      8.12777070      4.50033593      1.65339912
   25     -2.03004782      0.68656051      1.64420492
   26     -0.67112950      5.70841913      1.61534110
   27      6.81396895      2.90601374      1.61167002
   28      5.46689098      2.75841597      1.54100732
   29     -0.89599023      4.95807266      1.50984421
   30      2.48819341      4.85093521      1.41171175
   31     -7.74716245      1.99885295      1.40555457
   32      5.76403009      4.30907914      1.37442101
   33     -2.30000823      2.07471563      1.36098639
   34      1.93284770      5.65121478      1.33787065
   35     -4.62733612      5.38457197      1.32285629
   36     -0.94535381      1.26247978      1.32228565
   37      1.62738611      3.86526708      1.24342135
   38     -2.10839838      3.09169827      1.17698972
   39     -1.12427361      3.92422371      1.10764361
   40      1.42739011      0.15822491      0.91232853
   41      1.73390926      1.75217548      0.88763394
   42     -1.50315367      5.35579522      0.84334819
   43      2.43324078      0.64959400      0.82265103
   44     -5.04641006      2.82293016      0.79695611
   45     -3.46489188      5.22491128      0.75736110
   46      4.00848467      0.08616718      0.74988143
   47      3.30168928      0.31593164      0.73787177
   48     -7.08139911      0.27488111      0.73417833
   49     -4.20248778      2.73159752      0.70264440
   50      3.88630219      3.11476801      0.69171913
   51      0.83952114      5.87638291      0.65693454
   52     -2.99682445      2.99008798      0.53238090
   53      0.94740386      4.36243846      0.51513674
   54      5.71058553      5.08761357      0.46317487
   55     -7.37028044      2.63891802      0.45066932
   56      3.90979632      2.10798550      0.44848386
   57      6.84197794      5.07262797      0.43629714
   58      0.55314245      2.91209087      0.38339964
   59      3.00384031      3.91945598      0.37901836
   60     -2.54470222      3.91088804      0.36984147
   61      0.37927637      4.81584020      0.36797773
   62     -3.55651390      1.80932526      0.34800028
   63     -6.95444242      3.14121630      0.33669312
   64     -5.90630815      2.34308296      0.33485034
   65     -2.50416454      5.00108652      0.30223502
   66      0.51902625      1.69995477      0.25151834
   67      4.70142751      2.77490986      0.23233342
   68      1.12234644      2.22571396      0.21561207
   69     -3.06249590      4.24385166      0.20128613
   70      4.70894059      5.16548545      0.19745949
   71     -5.66743652      3.33999913      0.18279821
   72      5.13926384      3.70347082      0.16895816
   73     -5.53241726      4.68984119      0.16446820
   74      5.16694688      1.91529863      0.15313809
   75     -5.77760813      1.30987209      0.15262794
   76     -0.18829565      1.15542006      0.11664038
   77     -1.68439986      2.54038112      0.11523881
   78      2.12965154      2.64980311      0.09356077
   79      3.80440897      3.92572632      0.07111865
   80      6.64774887      1.19307942      0.06961562
   81      7.94574967      5.44196494      0.06667721
   82      7.28041154      2.34495878      0.06130465
   83     -8.12606625      0.31781741      0.05709689
   84     -0.21935132      4.56559648      0.05471363
   85     -8.25350433      4.46830907      0.03067038
   86      5.85112968      0.82301781      0.02209625
   87     -7.54242519      4.71320378      0.01978933
   88      6.81954469      0.60312817      0.01368451
   89     -6.69612939      4.83576528      0.01280137
   90     -9.48923228      4.87533276      0.01126329
